time,condition,detected_context,scenario_context,detected_emotion,scenario_emotion,reply_emotion
1553771252,0,kitchen,Home,Angry,Upset,Neutral
1553771278,0,kitchen,Home,Angry,Neutral,Neutral
1553771316,0,kitchen,Home,Angry,Angry,Neutral
1553771348,0,kitchen,Home,Angry,Happy,Neutral
1553771547,1,kitchen,Home,Angry,Angry,Neutral
1553771583,1,kitchen,Home,Angry,Neutral,Neutral
1553771614,1,kitchen,Home,Angry,Happy,Sad
1553771642,1,kitchen,Home,Angry,Neutral,Sad
1553771888,2,kitchen,Home,Angry,Happy,Supportive
1553771918,2,kitchen,Home,Angry,Angry,Supportive
1553771946,2,kitchen,Home,Angry,Neutral,Supportive
1553771981,2,kitchen,Home,Angry,Upset,Supportive
1553772171,3,kitchen,Home,Angry,Neutral,Neutral
1553772218,3,kitchen,Home,Angry,Happy,Happy
1553772265,3,kitchen,Home,Angry,Upset,Supportive
1553772301,3,kitchen,Home,Angry,Angry,Supportive
1553773422,0,kitchen,Home,Angry,Neutral,Neutral
1553773452,0,kitchen,Home,Angry,Angry,Neutral
1553773480,0,kitchen,Home,Others,Happy,Neutral
1553773511,0,kitchen,Home,Angry,Upset,Neutral
1553773744,1,kitchen,Home,Angry,Happy,Neutral
1553773773,1,kitchen,Home,Angry,Upset,Angry
1553773801,1,kitchen,Home,Angry,Neutral,Neutral
1553773825,1,kitchen,Home,Angry,Angry,Happy
1553774026,2,kitchen,Home,Angry,Upset,Supportive
1553774049,2,kitchen,Home,Angry,Happy,Supportive
1553774082,2,kitchen,Home,Angry,Angry,Supportive
1553774106,2,kitchen,Home,Angry,Neutral,Supportive
1553774330,3,kitchen,Home,Angry,Angry,Neutral
1553774368,3,kitchen,Home,Angry,Neutral,Neutral
1553774403,3,kitchen,Home,Angry,Upset,Supportive
1553774435,3,kitchen,Home,Angry,Happy,Happy
1553777978,0,kitchen,Home,Angry,Happy,Neutral
1553778007,0,kitchen,Home,Happy,Happy,Neutral
1553778070,0,kitchen,Home,Angry,Neutral,Neutral
1553778091,0,kitchen,Home,Happy,Happy,Neutral
1553778130,0,kitchen,Home,Happy,Upset,Neutral
1553778157,0,kitchen,Home,Angry,Neutral,Neutral
1553778184,0,kitchen,Home,Angry,Angry,Neutral
1553778319,1,kitchen,Home,Angry,Angry,Neutral
1553778340,1,kitchen,Home,Angry,Neutral,Supportive
1553778368,1,kitchen,Home,Angry,Upset,Sad
1553778399,1,kitchen,Home,Angry,Happy,Neutral
1553778551,2,kitchen,Home,Angry,Upset,Supportive
1553778573,2,kitchen,Home,Angry,Happy,Supportive
1553778598,2,kitchen,Home,Angry,Neutral,Supportive
1553778614,2,kitchen,Home,Angry,Neutral,Supportive
1553778664,0,kitchen,Home,Angry,Neutral,Neutral
1553778695,2,kitchen,Home,Angry,Neutral,Supportive
1553778721,2,kitchen,Home,Happy,Neutral,Happy
1553778801,2,kitchen,Home,Angry,Neutral,Supportive
1553778833,2,kitchen,Home,Angry,Neutral,Supportive
1553778856,2,kitchen,Home,Angry,Neutral,Supportive
1553779010,3,kitchen,Home,Angry,Neutral,Happy
1553779072,3,kitchen,Home,Angry,Happy,Happy
1553779130,3,kitchen,Home,Happy,Upset,Supportive
1553779165,3,kitchen,Home,Angry,Angry,Supportive
1553782213,0,kitchen,Home,Angry,Neutral,Neutral
1553782304,0,kitchen,Home,Angry,Neutral,Neutral
